food,calorie,protein,carbs,fat,Sugar,Fiber,Sodium,Vitamins,Minerals
Coconut Oil,120,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0
Black Bean Burger,220,15.0,30.0,4.0,2.0,7.0,0.4,0.015,0.002
Raspberry Smoothie,90,1.0,22.0,0.5,15.0,5.0,0.005,0.035,0.001
Chickpea Spinach Curry,220,8.0,35.0,5.0,7.0,10.0,0.5,0.015,0.002
Sunflower Seeds,200,7.0,7.0,17.0,1.5,3.9,0.001,0.0,0.002
Caprese Salad,180,12.0,5.0,13.0,2.0,2.0,0.35,0.02,0.002
Papaya Salad,90,1.3,22.0,0.5,11.0,2.5,0.02,0.045,0.001
Shrimp Scampi,220,25.0,6.0,11.0,1.0,1.0,0.35,0.01,0.002
Farro Bowl,240,10.0,48.0,1.5,1.0,8.0,0.01,0.002,0.002
Radish,16,0.7,3.4,0.1,1.9,1.6,0.039,0.016,0.002
Avocado Toast,200,4.0,14.0,15.0,1.0,7.0,0.2,0.006,0.002
Mushroom Risotto,300,9.0,45.0,8.0,2.0,3.0,0.5,0.015,0.002
Strawberry Banana Smoothie,120,1.0,30.0,0.5,20.0,4.0,0.005,0.03,0.001
Lentil Stir-Fry,180,8.0,30.0,4.0,4.0,10.0,0.25,0.015,0.002
Brazil Nuts,190,4.0,3.5,19.0,0.7,2.1,0.0,0.0,0.002
Quinoa Stuffed Bell Peppers,260,9.0,45.0,5.0,6.0,9.0,0.4,0.02,0.002
Watermelon,30,0.6,8.0,0.2,6.0,0.4,0.001,0.01,0.001
Grilled Salmon Salad,200,25.0,10.0,8.0,2.0,3.0,0.3,0.015,0.002
Bulgur Pilaf,180,6.0,35.0,1.0,0.5,8.0,0.01,0.002,0.001
Cucumber Salad,25,0.8,5.4,0.3,1.5,1.0,0.005,0.016,0.002
Almond Butter,190,6.0,6.0,16.0,3.0,3.0,0.0,0.0,0.002
Chickpea Buddha Bowl,240,10.0,35.0,7.0,5.0,10.0,0.4,0.01,0.002
Pineapple Coconut Smoothie,100,1.0,25.0,0.5,18.0,2.0,0.005,0.02,0.001
Sweet Potato Curry,220,6.0,40.0,3.0,8.0,7.0,0.5,0.02,0.002
Pine Nuts,190,3.5,3.7,19.0,1.0,1.0,0.0,0.0,0.002
Egg Fried Quinoa,230,10.0,30.0,7.0,1.0,5.0,0.55,0.012,0.002
Melon,45,0.9,11.0,0.2,9.0,0.9,0.005,0.027,0.001
Grilled Chicken Wrap,280,30.0,15.0,10.0,3.0,2.0,0.45,0.015,0.002
Barley Salad Bowl,220,5.0,45.0,2.0,0.5,8.0,0.015,0.003,0.002
Zucchini Noodles,30,2.0,5.0,0.3,1.8,1.0,0.01,0.016,0.002
Cashew Butter,190,5.0,8.0,16.0,2.0,2.0,0.0,0.0,0.002
Chickpea Fajita Bowl,260,12.0,40.0,5.0,5.0,10.0,0.4,0.01,0.002
Mango Pineapple Smoothie,110,1.0,28.0,0.5,20.0,2.0,0.005,0.03,0.001
Quinoa Stir-Fry,200,8.0,35.0,5.0,3.0,8.0,0.35,0.01,0.002
Pecan Nuts,196,2.6,3.9,20.0,1.1,2.7,0.0,0.0,0.002
Cauliflower Rice Bowl,180,5.0,40.0,2.0,2.0,5.0,0.3,0.008,0.002
Dragon Fruit Bowl,80,2.0,18.0,0.5,12.0,5.0,0.002,0.015,0.001
Grilled Shrimp Skewers,160,22.0,5.0,8.0,1.0,1.0,0.3,0.01,0.002
Millet Porridge,220,5.0,45.0,2.0,1.0,7.0,0.2,0.015,0.002
Broccoli Salad,35,3.0,6.0,0.4,1.0,2.5,0.03,0.065,0.002
Pistachio Butter,180,5.0,6.0,15.0,2.0,3.0,0.0,0.0,0.002
Chickpea Stir-Fry,240,10.0,35.0,6.0,5.0,9.0,0.4,0.015,0.002
Papaya Smoothie Bowl,120,2.0,30.0,0.5,18.0,3.0,0.005,0.025,0.001
Sweet Potato Bowl,250,6.0,50.0,3.0,8.0,10.0,0.45,0.02,0.002
Hazelnut Butter,180,4.0,3.0,18.0,1.0,2.0,0.0,0.0,0.002
Spaghetti Squash Pasta,180,5.0,40.0,2.0,1.0,5.0,0.01,0.002,0.001
Apple Slices,52,0.3,14.0,0.2,10.0,2.0,0.0,0.001,0.001
Grilled Turkey Burger,200,25.0,2.0,10.0,0.0,0.0,0.08,0.015,0.002
Buckwheat Pancake Stack,220,7.0,45.0,1.5,5.0,3.0,0.2,0.002,0.002
Cabbage Slaw Bowl,60,1.5,15.0,0.2,4.0,3.0,0.01,0.035,0.002
Almond Yogurt,100,3.0,15.0,3.0,8.0,1.0,0.05,0.01,0.001
Lentil Veggie Bowl,230,15.0,40.0,2.0,4.0,10.0,0.5,0.012,0.002
Mixed Berry Smoothie,110,2.0,25.0,0.5,18.0,3.0,0.005,0.02,0.001
Chickpea Avocado Salad,220,8.0,35.0,7.0,5.0,9.0,0.35,0.018,0.002
Walnut Butter,200,4.5,3.0,18.0,1.0,2.0,0.0,0.0,0.002
Cauliflower Gnocchi,190,5.0,35.0,1.0,2.0,8.0,0.3,0.015,0.002
Grapes,69,0.6,18.0,0.2,15.0,0.9,0.002,0.047,0.001
Grilled Chicken Skewers,180,26.0,3.0,8.0,0.0,0.0,0.1,0.015,0.002
Quinoa Breakfast Bowl,240,8.0,45.0,4.0,1.0,7.0,0.3,0.006,0.001
Zucchini Fritters,120,5.0,15.0,6.0,2.0,3.0,0.25,0.01,0.002
Cashew Milk,60,1.0,8.0,3.0,5.0,0.5,0.08,0.0,0.002
Chickpea Tomato Curry,250,12.0,30.0,5.0,8.0,10.0,0.45,0.02,0.002
Berry Chia Pudding,150,3.0,20.0,7.0,10.0,8.0,0.005,0.015,0.001
Spinach Quinoa Salad,180,6.0,30.0,5.0,3.0,7.0,0.35,0.02,0.002
Sun-Dried Tomato Pesto,160,2.0,6.0,16.0,2.0,3.0,0.3,0.002,0.001
Cauliflower Pizza,220,8.0,30.0,9.0,2.0,5.0,0.4,0.015,0.002
Pineapple,50,0.5,13.0,0.1,9.0,1.4,0.001,0.079,0.001
Turkey and Veggie Stir-Fry,200,24.0,8.0,9.0,2.0,2.0,0.35,0.01,0.002
Quinoa Buddha Bowl,240,9.0,40.0,6.0,1.0,8.0,0.2,0.01,0.002
Cucumber Rolls,30,1.0,6.0,0.5,1.5,1.0,0.01,0.025,0.002
Coconut Cream,120,1.0,1.0,13.0,1.0,0.0,0.015,0.0,0.002
Chickpea Spinach Curry,250,12.0,35.0,6.0,6.0,9.0,0.4,0.015,0.002
Blueberry Acai Bowl,130,2.0,30.0,1.0,15.0,5.0,0.01,0.025,0.001
Chickpea and Quinoa Bowl,230,9.0,38.0,5.0,4.0,9.0,0.3,0.015,0.002
Cashew Hummus,180,6.0,10.0,14.0,1.0,3.0,0.35,0.002,0.001
Spaghetti Squash Stir-Fry,190,5.0,40.0,2.0,2.0,6.0,0.25,0.01,0.002
Orange Slices,62,1.2,15.0,0.2,12.0,2.3,0.001,0.063,0.001
Salmon Salad with Avocado,220,24.0,10.0,10.0,1.0,2.0,0.3,0.015,0.002
Millet Porridge Bowl,250,7.0,50.0,2.0,1.0,8.0,0.2,0.012,0.002
Grilled Eggplant,40,2.0,8.0,0.5,1.5,3.0,0.01,0.015,0.002
Hazelnut Milk,80,2.0,1.0,7.0,6.0,0.5,0.05,0.002,0.002
Chickpea and Spinach Stew,220,11.0,30.0,4.0,5.0,8.0,0.4,0.018,0.002
Mixed Berry Parfait,150,3.0,25.0,4.0,15.0,5.0,0.005,0.03,0.001
Quinoa and Black Bean Bowl,250,10.0,45.0,4.0,2.0,10.0,0.4,0.018,0.002
Almond Pesto,160,3.0,5.0,14.0,1.5,2.0,0.25,0.006,0.001
Zucchini Noodles with Pesto,180,5.0,15.0,12.0,2.0,5.0,0.35,0.01,0.002
Kiwi Slices,61,1.1,14.0,0.5,9.0,2.1,0.002,0.051,0.001
Grilled Turkey and Veggie Wrap,220,26.0,10.0,8.0,3.0,2.0,0.4,0.015,0.002
Farro and Vegetable Salad,210,6.0,40.0,3.0,1.0,7.0,0.3,0.008,0.002
Cauliflower and Broccoli Soup,45,3.0,8.0,0.5,2.0,3.0,0.25,0.015,0.002
Chickpea and Tomato Pasta,240,12.0,30.0,5.0,8.0,10.0,0.45,0.02,0.002
Mixed Fruit Smoothie,110,2.0,25.0,0.5,18.0,3.0,0.005,0.025,0.001
Chickpea and Kale Salad,200,8.0,30.0,7.0,5.0,8.0,0.35,0.02,0.002
Peanut Butter,190,8.0,6.0,16.0,2.0,3.0,0.15,0.0,0.001
Mushroom and Spinach Risotto,220,7.0,45.0,4.0,1.0,5.0,0.4,0.015,0.002
Pear Slices,57,0.6,15.0,0.2,9.0,3.1,0.0,0.001,0.001
Grilled Chicken and Quinoa Bowl,240,28.0,15.0,9.0,1.0,2.0,0.35,0.012,0.002
Brown Rice and Vegetable Stir-Fry,200,5.0,40.0,2.0,2.0,6.0,0.3,0.01,0.002
Cucumber and Tomato Salad,30,1.0,6.0,0.3,1.0,1.5,0.015,0.02,0.002
Oat Milk,80,1.0,15.0,1.0,5.0,1.0,0.05,0.015,0.002
Lentil and Quinoa Stew,230,13.0,30.0,5.0,6.0,9.0,0.4,0.018,0.002
Banana and Berry Smoothie,120,2.0,30.0,0.5,20.0,4.0,0.005,0.025,0.001
Quinoa and Chickpea Salad,220,10.0,35.0,5.0,4.0,8.0,0.3,0.015,0.002
Cashew and Basil Pesto,170,4.0,7.0,15.0,1.5,2.0,0.2,0.008,0.001
Sweet Potato Noodles,190,3.0,45.0,1.0,2.0,6.0,0.25,0.01,0.002
Mango Slices,60,0.6,15.0,0.4,13.0,1.6,0.0,0.06,0.001
Grilled Salmon and Asparagus,240,30.0,8.0,12.0,1.0,2.0,0.4,0.018,0.002
Quinoa and Vegetable Stir-Fry,210,7.0,40.0,3.0,1.0,7.0,0.35,0.01,0.002
Tomato and Cucumber Salsa,25,1.0,5.0,0.2,1.0,2.0,0.02,0.015,0.002
Chickpea and Spinach Pasta,240,12.0,30.0,5.0,7.0,10.0,0.45,0.02,0.002
Pineapple and Mango Smoothie,110,1.0,28.0,0.5,18.0,3.0,0.005,0.02,0.001
Whole Wheat Bread,80,3.0,15.0,1.0,1.0,3.0,0.15,0.002,0.001
Milk,120,8.0,12.0,5.0,10.0,0.0,0.12,0.03,0.002
Strawberry Jam,50,0.0,12.0,0.0,10.0,0.5,0.005,0.0,0.0
Peanut Butter Sandwich,300,10.0,30.0,15.0,3.0,5.0,0.35,0.002,0.001
Banana,105,1.3,27.0,0.3,14.0,3.1,0.001,0.022,0.001
Grilled Chicken Burger,350,25.0,30.0,15.0,3.0,2.0,0.4,0.015,0.002
Vegetarian Pizza,250,10.0,35.0,8.0,2.0,5.0,0.35,0.01,0.002
Eggs,70,6.0,1.0,5.0,0.6,0.0,0.07,0.01,0.002
Avocado Toast,200,4.0,15.0,15.0,1.0,7.0,0.2,0.006,0.002
Orange Juice,110,1.0,26.0,0.5,21.0,0.5,0.005,0.05,0.001
Oatmeal,150,5.0,27.0,2.5,0.0,4.0,0.0,0.01,0.002
Mango Smoothie,120,2.0,30.0,0.5,18.0,3.0,0.005,0.02,0.001
Chicken Sandwich,300,20.0,30.0,12.0,3.0,2.0,0.4,0.015,0.002
Cheese Pizza,280,12.0,36.0,10.0,2.0,2.0,0.35,0.015,0.002
Apple,95,0.5,25.0,0.3,19.0,3.7,0.0,0.014,0.0001
Pasta with Tomato Sauce,200,7.0,40.0,1.0,5.0,3.0,0.3,0.008,0.002
Yogurt,150,8.0,12.0,8.0,10.0,0.0,0.1,0.03,0.002
Scrambled Eggs,140,14.0,1.0,9.0,0.6,0.0,0.14,0.015,0.002
Peanut Butter and Jelly Sandwich,350,10.0,45.0,15.0,15.0,3.0,0.3,0.0,0.001
Green Salad,50,2.0,10.0,0.5,2.0,3.0,0.05,0.02,0.002
Brown Rice,215,5.0,45.0,1.6,0.0,3.5,0.01,0.002,0.002
Coffee,2,0.3,0.0,0.1,0.0,0.0,0.005,0.0,0.0
Cheese Sandwich,320,15.0,30.0,15.0,2.0,2.0,0.4,0.015,0.002
Margherita Pizza,220,10.0,25.0,10.0,2.0,3.0,0.3,0.012,0.001
Spaghetti Bolognese,300,15.0,40.0,10.0,5.0,3.0,0.35,0.01,0.002
Milkshake,200,5.0,30.0,8.0,20.0,1.0,0.15,0.025,0.001
Hard-Boiled Eggs,68,5.0,0.6,5.0,0.6,0.0,0.062,0.015,0.002
Peanut Butter Toast,180,7.0,20.0,10.0,2.0,3.0,0.15,0.0,0.001
Vegetable Stir-Fry,120,5.0,20.0,3.0,4.0,5.0,0.2,0.015,0.002
Salmon Sushi Roll,220,15.0,25.0,10.0,2.0,3.0,0.3,0.015,0.002
Green Tea,0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0
Turkey and Cheese Wrap,300,20.0,25.0,15.0,2.0,3.0,0.4,0.01,0.002
Vegetarian Calzone,250,12.0,30.0,8.0,3.0,4.0,0.35,0.01,0.002
Apple Slices with Peanut Butter,180,5.0,20.0,10.0,8.0,4.0,0.05,0.002,0.002
Vegetable Lasagna,280,15.0,30.0,12.0,5.0,6.0,0.4,0.02,0.002
Iced Coffee,30,0.5,5.0,0.0,5.0,0.0,0.01,0.0,0.0
Greek Yogurt Parfait,200,15.0,20.0,8.0,12.0,2.0,0.1,0.025,0.002
Cottage Cheese with Pineapple,150,14.0,10.0,6.0,10.0,0.0,0.18,0.015,0.002
Grilled Cheese Sandwich,320,15.0,30.0,15.0,2.0,2.0,0.4,0.015,0.002
Baked Chicken Breast,165,31.0,0.0,3.6,0.0,0.0,0.07,0.0,0.002
Green Smoothie,100,2.0,25.0,0.5,15.0,5.0,0.01,0.05,0.001
Classic Hamburger,300,15.0,30.0,15.0,3.0,2.0,0.4,0.01,0.002
Caprese Salad,150,8.0,10.0,10.0,3.0,2.0,0.2,0.015,0.002
Orange,62,1.2,15.0,0.2,12.0,2.3,0.001,0.063,0.001
Quinoa Salad,200,7.0,35.0,5.0,2.0,5.0,0.25,0.01,0.002
Iced Tea,5,0.0,1.0,0.0,0.0,0.0,0.005,0.0,0.0
Plain Yogurt,100,10.0,5.0,5.0,5.0,0.0,0.05,0.03,0.002
Peanut Butter and Banana Sandwich,350,10.0,45.0,15.0,15.0,3.0,0.3,0.0,0.001
Caesar Salad,250,15.0,10.0,18.0,2.0,4.0,0.3,0.02,0.002
Grilled Salmon,200,22.0,0.0,13.0,0.0,0.0,0.05,0.0,0.002
Black Coffee,2,0.2,0.0,0.0,0.0,0.0,0.005,0.0,0.0
Turkey Club Sandwich,350,25.0,20.0,18.0,3.0,2.0,0.4,0.01,0.002
Margherita Flatbread,220,8.0,30.0,8.0,2.0,3.0,0.3,0.012,0.001
Vegetable Stir-Fry,150,5.0,25.0,5.0,3.0,4.0,0.2,0.02,0.002
Iced Lemonade,80,0.0,20.0,0.0,18.0,0.0,0.01,0.01,0.0
Almond Milk,60,1.0,1.0,5.0,0.0,1.0,0.05,0.03,0.002
Banana Smoothie,120,1.0,30.0,0.5,18.0,3.0,0.005,0.025,0.001
Roast Chicken,250,30.0,0.0,15.0,0.0,0.0,0.08,0.0,0.002
Espresso,1,0.1,0.0,0.0,0.0,0.0,0.001,0.0,0.0
BLT Sandwich,400,15.0,30.0,25.0,3.0,2.0,0.4,0.01,0.002
Vegetarian Wrap,280,12.0,35.0,10.0,2.0,4.0,0.35,0.012,0.001
Quinoa Bowl,300,10.0,40.0,12.0,2.0,6.0,0.25,0.01,0.002
Iced Latte,60,1.0,6.0,3.0,6.0,0.0,0.02,0.0,0.0
Coconut Milk,80,1.0,1.0,7.0,0.0,0.0,0.02,0.01,0.002
Fruit Salad,120,1.0,30.0,0.5,22.0,4.0,0.005,0.03,0.001
Grilled Cheese,230,10.0,20.0,15.0,2.0,1.0,0.3,0.02,0.002
Grilled Shrimp,120,20.0,2.0,5.0,0.0,0.0,0.2,0.0,0.002
Iced Green Tea,5,0.0,1.0,0.0,0.0,0.0,0.005,0.0,0.0
Caesar Wrap,350,15.0,25.0,22.0,3.0,2.0,0.4,0.015,0.002
Margherita Panini,300,10.0,30.0,15.0,2.0,3.0,0.3,0.012,0.001
Banana,95,1.3,25.0,0.3,14.0,3.1,0.001,0.022,0.001
Brown Rice Bowl,250,8.0,40.0,5.0,2.0,6.0,0.3,0.01,0.002
Iced Chai Latte,80,1.0,10.0,4.0,8.0,0.0,0.03,0.0,0.0
Almond Butter,180,7.0,5.0,15.0,1.0,3.0,0.0,0.0,0.001
Greek Salad,200,10.0,15.0,15.0,4.0,3.0,0.3,0.02,0.002
Cheese Quesadilla,320,15.0,30.0,15.0,2.0,2.0,0.4,0.015,0.002
Grilled Tofu,180,15.0,10.0,12.0,2.0,5.0,0.3,0.01,0.002
Black Tea,2,0.2,0.5,0.0,0.0,0.0,0.005,0.0,0.0
Chicken Caesar Salad,280,20.0,15.0,18.0,3.0,4.0,0.4,0.015,0.002
Mushroom Risotto,220,6.0,40.0,5.0,1.0,4.0,0.35,0.008,0.002
Pear,57,0.6,15.0,0.2,12.0,3.1,0.0,0.001,0.001
Quinoa and Black Bean Burrito,300,12.0,45.0,8.0,2.0,7.0,0.35,0.015,0.002
Iced Mocha,120,1.0,20.0,5.0,12.0,1.0,0.02,0.0,0.0
Cashew Butter,160,5.0,8.0,14.0,1.0,2.0,0.0,0.0,0.002
Caprese Pizza,250,12.0,30.0,10.0,2.0,3.0,0.35,0.012,0.001
Turkey and Cheese Quesadilla,280,20.0,15.0,18.0,3.0,2.0,0.4,0.01,0.002
Salmon Fillet,220,25.0,0.0,13.0,0.0,0.0,0.06,0.0,0.002
Chicken Avocado Wrap,320,20.0,25.0,15.0,3.0,2.0,0.4,0.01,0.002
Margherita Pizza,280,12.0,30.0,12.0,2.0,3.0,0.35,0.012,0.001
Quinoa and Vegetable Stir-Fry,200,5.0,40.0,2.0,2.0,6.0,0.3,0.01,0.002
Iced Americano,5,0.5,1.0,0.0,0.0,0.0,0.01,0.0,0.0
Greek Salad,180,8.0,12.0,12.0,4.0,3.0,0.3,0.02,0.002
Grilled Chicken Salad,180,25.0,10.0,8.0,3.0,4.0,0.35,0.015,0.002
Iced Chamomile Tea,0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0
Turkey and Swiss Sandwich,350,20.0,30.0,15.0,3.0,2.0,0.4,0.015,0.002
Vegetarian Margherita Flatbread,240,8.0,35.0,7.0,2.0,3.0,0.3,0.012,0.001
Quinoa and Chickpea Bowl,280,10.0,40.0,9.0,2.0,7.0,0.35,0.015,0.002
Iced Rooibos Tea,0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0
Olive Oil,120,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0
Caesar Salad,200,10.0,15.0,15.0,4.0,3.0,0.3,0.02,0.002
Cheese and Tomato Panini,300,12.0,30.0,15.0,2.0,3.0,0.3,0.012,0.001
Grilled Salmon Salad,250,30.0,15.0,12.0,3.0,5.0,0.4,0.015,0.002
Iced Herbal Tea,5,0.0,1.0,0.0,0.0,0.0,0.005,0.0,0.0
